season,week,game_id,game_date,posteam,home_team,away_team,passer_player_name,receiver_player_name,passing_yards,pass_touchdown,first_down
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,40,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,K.Faulk,9,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,2,1,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,R.Caldwell,22,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,R.Caldwell,20,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,21,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,18,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,19,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,5,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,D.Graham,9,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,5,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,C.Dillon,5,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,J.Gaffney,28,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,B.Watson,23,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,1,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,28,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,20,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,D.Gabriel,12,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,D.Graham,15,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,13,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,2,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,B.Watson,9,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,P.Pass,16,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,8,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,1,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,6,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,9,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,B.Watson,9,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,6,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,9,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,T.Brown,3,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,T.Brown,5,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,K.Faulk,5,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,T.Brown,5,0,1
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,R.Caldwell,12,0,1
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,T.Brown,-1,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,D.Graham,7,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,K.Faulk,7,0,1
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,B.Watson,5,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,D.Graham,5,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,D.Graham,3,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,C.Dillon,1,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,T.Brown,21,0,1
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,T.Brady,P.Pass,8,0,0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,M.Cassel,H.Evans,4,0,0
