season,week,game_id,game_date,season_type,posteam,home_team,away_team,passer_player_name,receiver_player_name,passing_yards,pass_touchdown,first_down
2007,5,2007_05_CLE_NE,2007-10-07,REG,NE,NE,CLE,T.Brady,B.Watson,35,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,16,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,D.Stallworth,7,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,D.Stallworth,11,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,D.Stallworth,7,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,K.Faulk,4,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,20,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,R.Moss,6,1,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,6,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,B.Watson,28,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,35,1,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,J.Gaffney,6,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,D.Stallworth,17,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,D.Stallworth,15,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,K.Faulk,18,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,5,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,12,1,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,R.Moss,14,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,10,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,5,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,J.Gaffney,10,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,D.Stallworth,10,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,R.Moss,3,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,K.Brady,1,1,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,K.Faulk,2,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,D.Stallworth,69,1,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,R.Moss,8,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,R.Moss,14,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,6,0,1
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,R.Moss,14,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,-2,0,0
2007,6,2007_06_NE_DAL,2007-10-14,REG,NE,DAL,NE,T.Brady,W.Welker,11,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,9,0,0
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,K.Brady,3,0,0
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,J.Gaffney,12,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,D.Stallworth,30,1,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,9,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,K.Brady,5,0,0
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,K.Brady,2,1,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,36,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,R.Moss,35,1,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,H.Evans,29,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,R.Moss,50,1,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,D.Stallworth,6,0,0
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,14,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,18,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,R.Moss,19,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,14,1,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,R.Moss,18,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,11,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,K.Faulk,7,0,0
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,11,0,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,T.Brady,W.Welker,16,1,1
2007,7,2007_07_NE_MIA,2007-10-21,REG,NE,MIA,NE,M.Gutierrez,D.Stallworth,15,0,1
