season,week,game_id,game_date,posteam,home_team,away_team,opponent,home_away,passer_player_name,receiver_player_name,receptions,rec_yards,rec_tds,first_downs,total_air_yards,total_yac
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,D.Graham,2.0,24.0,0.0,1.0,19.0,5.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,J.Gaffney,1.0,28.0,0.0,1.0,26.0,2.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,K.Faulk,8.0,59.0,0.0,2.0,-5.0,64.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,P.Pass,1.0,16.0,0.0,1.0,-3.0,19.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,R.Caldwell,8.0,112.0,0.0,6.0,97.0,15.0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,DET,home,T.Brady,T.Brown,2.0,8.0,0.0,1.0,3.0,5.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,M.Cassel,D.Graham,1.0,8.0,0.0,1.0,6.0,2.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,M.Cassel,H.Evans,1.0,4.0,0.0,0.0,3.0,1.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,T.Brady,B.Watson,1.0,5.0,0.0,0.0,4.0,1.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,T.Brady,C.Dillon,1.0,1.0,0.0,0.0,0.0,1.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,T.Brady,D.Graham,3.0,15.0,0.0,0.0,-2.0,17.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,T.Brady,K.Faulk,2.0,12.0,0.0,1.0,10.0,2.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,T.Brady,P.Pass,1.0,8.0,0.0,0.0,3.0,5.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,T.Brady,R.Caldwell,1.0,12.0,0.0,1.0,11.0,1.0
2006,14,2006_14_NE_MIA,2006-12-10,NE,MIA,NE,MIA,away,T.Brady,T.Brown,3.0,25.0,0.0,2.0,12.0,13.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,M.Cassel,C.Dillon,1.0,10.0,0.0,1.0,-6.0,16.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,M.Cassel,H.Evans,1.0,4.0,0.0,0.0,-4.0,8.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,M.Cassel,R.Caldwell,1.0,6.0,0.0,1.0,3.0,3.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,T.Brady,C.Dillon,4.0,10.0,0.0,1.0,-11.0,21.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,T.Brady,D.Thomas,3.0,24.0,0.0,0.0,2.0,22.0
2006,15,2006_15_HOU_NE,2006-12-17,NE,NE,HOU,HOU,home,T.Brady,J.Gaffney,1.0,6.0,1.0,1.0,6.0,0.0
